50
461
0 5 10
0 43 17
0 2 19
0 48 15
0 21 16
0 23 11
0 42 5
0 39 14
0 26 17
0 34 15
0 24 6
0 41 13
0 3 19
0 27 16
11 10 9
11 5 17
11 27 8
11 42 13
11 49 6
11 30 16
37 35 11
37 38 1
37 28 4
37 42 15
37 24 12
37 40 15
37 16 13
37 13 13
37 22 11
37 49 19
37 33 5
37 15 14
37 29 3
37 26 10
8 18 10
8 27 4
8 38 1
8 45 13
8 5 3
8 40 11
8 9 4
8 17 12
4 16 10
4 5 8
4 13 15
4 14 6
4 42 5
4 17 12
4 26 18
4 27 20
4 36 14
15 39 19
15 49 3
15 29 15
15 46 19
15 4 15
46 9 14
46 45 14
46 26 6
46 2 8
42 28 7
42 36 8
42 40 15
42 46 11
42 44 17
2 40 6
2 30 5
2 33 8
2 43 13
2 7 16
2 23 16
2 37 2
2 27 18
2 38 4
22 5 13
22 15 3
22 26 15
22 43 16
22 12 14
22 42 19
22 7 12
22 38 8
22 48 4
22 4 7
25 47 5
25 41 14
25 13 15
25 34 2
25 46 15
25 9 19
25 36 18
25 32 10
25 22 8
44 15 10
44 22 18
44 46 14
44 7 6
44 34 7
44 36 19
44 13 18
44 23 2
28 32 9
28 2 12
28 17 8
28 21 13
28 49 17
28 12 18
28 18 5
28 10 9
28 43 3
28 16 7
28 13 12
20 3 19
20 45 19
20 36 5
20 7 18
20 8 7
20 37 8
20 39 4
20 28 13
20 11 18
29 16 10
29 45 2
29 31 20
29 20 12
29 3 13
29 48 6
18 29 15
18 34 4
18 36 8
18 22 10
18 39 3
18 31 20
45 23 14
45 43 4
45 30 5
45 33 6
45 40 15
45 47 15
45 15 3
45 41 11
45 37 15
45 26 5
45 42 5
12 8 10
12 14 17
12 32 17
12 16 11
12 46 11
12 26 9
33 11 7
33 26 13
33 22 16
33 16 11
33 48 17
33 12 10
19 30 17
19 17 4
19 27 7
19 22 18
19 7 6
19 24 9
19 34 4
19 48 18
19 16 12
26 15 7
26 10 16
26 18 19
26 17 17
26 48 10
26 34 13
26 41 11
26 38 10
26 47 6
26 40 3
26 42 14
26 5 5
26 32 19
30 35 13
30 5 2
30 49 10
30 28 13
30 29 4
30 26 7
30 9 1
30 47 7
30 21 11
30 7 7
30 37 2
30 40 14
24 25 3
24 23 13
24 8 4
24 32 16
24 22 13
43 23 10
43 38 13
43 30 8
43 33 11
43 3 13
43 21 19
43 20 8
5 48 6
5 36 10
5 47 4
5 32 2
5 28 13
5 43 2
32 2 11
32 45 14
32 38 20
32 13 6
32 47 8
32 37 13
32 31 11
32 33 14
32 10 10
32 41 12
32 48 7
32 34 15
32 18 16
32 21 12
47 18 4
47 33 2
47 8 8
47 31 2
47 46 10
47 19 12
47 24 4
47 20 6
47 43 19
47 34 16
47 21 11
47 22 2
35 27 3
35 47 13
35 19 20
35 20 16
35 49 2
35 24 15
35 16 5
35 9 12
35 32 9
35 10 9
35 41 11
35 1 14
35 8 3
38 23 6
38 17 17
38 41 9
38 5 20
38 1 7
38 30 10
38 9 18
38 34 11
38 6 11
38 10 11
38 7 12
38 16 15
38 39 5
49 33 4
49 41 19
49 8 7
49 48 15
49 36 10
49 20 15
49 31 18
49 34 17
49 43 12
49 39 13
49 25 19
6 13 15
6 29 2
6 22 15
6 37 20
6 30 13
6 47 3
6 24 11
34 4 6
34 20 5
34 15 17
34 11 14
34 16 20
34 31 18
34 45 16
34 17 12
34 7 13
34 5 8
34 28 14
34 23 2
10 8 20
10 45 4
10 1 6
10 40 5
10 49 12
10 37 5
10 21 20
10 4 17
10 48 14
10 3 20
10 42 15
40 5 8
40 17 15
40 28 10
40 13 12
40 4 6
40 32 2
40 38 1
40 16 17
3 18 8
3 6 16
3 1 3
3 19 3
3 32 6
3 13 10
3 47 15
3 4 18
3 9 7
31 9 5
31 39 18
31 43 2
31 46 4
31 40 9
31 44 10
31 7 13
31 38 12
31 22 2
31 2 4
31 45 4
31 21 9
16 43 1
16 2 2
16 8 11
16 27 7
16 13 11
16 47 15
16 46 7
16 1 15
1 41 3
1 48 20
1 32 5
1 7 1
1 2 3
1 37 8
1 18 2
1 49 13
1 6 5
1 47 4
1 13 8
48 6 15
48 15 7
48 25 15
48 41 8
48 42 15
48 14 19
48 20 7
48 31 4
48 8 15
48 45 9
48 43 7
48 47 16
48 13 8
13 43 19
13 35 12
13 29 13
13 9 17
13 41 9
13 30 10
13 7 12
41 3 2
41 6 15
41 15 8
41 4 3
41 27 12
41 9 14
41 18 5
41 33 15
41 46 7
27 46 14
27 48 10
27 37 13
27 45 10
27 17 11
27 13 17
27 18 7
27 6 17
27 36 9
39 33 11
39 34 3
39 19 1
39 12 13
39 17 4
39 27 14
39 23 9
39 5 18
39 6 18
39 46 2
39 2 13
39 1 5
39 42 18
17 22 16
17 43 5
17 1 2
17 23 19
9 15 6
9 49 16
9 16 6
9 39 10
9 14 10
9 1 20
9 26 3
9 44 13
9 18 20
9 21 19
9 22 4
9 37 18
9 29 15
14 35 7
14 22 13
14 16 17
14 15 12
14 18 15
14 1 10
14 20 13
14 46 7
14 44 11
14 38 7
7 48 7
7 16 16
7 11 17
7 32 6
7 39 7
7 49 2
7 40 16
7 46 10
7 35 4
7 27 19
7 29 18
7 18 9
7 5 20
23 11 3
23 40 8
23 46 12
23 20 11
23 25 17
23 32 12
23 29 17
36 46 9
36 23 19
36 35 15
36 32 4
36 40 16
36 10 12
36 33 2
36 30 14
36 48 2
36 1 13
36 9 9
36 15 8
36 16 19
36 41 9
